rank,team_name,event,country,year,division,event_category,workout_filter,Strength,Endurance,MetCon X,1RM Strict Press,3RM Back Squat,5RM Deadlift,Run,Row,Points
5,Saskia Noack & Marc Ewers,ATHX BERLIN 2025,Germany 🇩🇪,2025,Mixed,ATHX,MetCon X,,,13:29,,,,,,5
6,Karin Steininger & Alfred Leutl,ATHX BERLIN 2025,Germany 🇩🇪,2025,Mixed,ATHX,MetCon X,,,14:04,,,,,,6
7,Kai Jakobeit & Julia Bethke,ATHX BERLIN 2025,Germany 🇩🇪,2025,Mixed,ATHX,MetCon X,,,14:14,,,,,,7
8,Giannina Pomilio & Angelo E,ATHX BERLIN 2025,Germany 🇩🇪,2025,Mixed,ATHX,MetCon X,,,14:22,,,,,,8
9,Sindy Haake & Jan Spreitzenbarth,ATHX BERLIN 2025,Germany 🇩🇪,2025,Mixed,ATHX,MetCon X,,,14:30,,,,,,9
10,Christian Nolde & Steffi Schmitt,ATHX BERLIN 2025,Germany 🇩🇪,2025,Mixed,ATHX,MetCon X,,,14:35,,,,,,10
11,Nicole Schoen & Vassili Christu,ATHX BERLIN 2025,Germany 🇩🇪,2025,Mixed,ATHX,MetCon X,,,14:51,,,,,,11
12,Benjamin Lux & Anne Lux,ATHX BERLIN 2025,Germany 🇩🇪,2025,Mixed,ATHX,MetCon X,,,15:27,,,,,,12
13,Christian Kosak & Tamara Salden,ATHX BERLIN 2025,Germany 🇩🇪,2025,Mixed,ATHX,MetCon X,,,15:33,,,,,,13
14,Sina Bertelsbeck & Philip Heitmann,ATHX BERLIN 2025,Germany 🇩🇪,2025,Mixed,ATHX,MetCon X,,,15:38,,,,,,14
15,Madita Carstensen & Tom Harring,ATHX BERLIN 2025,Germany 🇩🇪,2025,Mixed,ATHX,MetCon X,,,15:43,,,,,,15
16,Helene Wieblitz & Albrecht Grafe,ATHX BERLIN 2025,Germany 🇩🇪,2025,Mixed,ATHX,MetCon X,,,15:44,,,,,,16
17,Juri Maier & Greta Grothe,ATHX BERLIN 2025,Germany 🇩🇪,2025,Mixed,ATHX,MetCon X,,,15:58,,,,,,17
18,Christian Schnur & Stina Güttner,ATHX BERLIN 2025,Germany 🇩🇪,2025,Mixed,ATHX,MetCon X,,,15:59,,,,,,18
19,Josipa Ljiljak & Jenö Mészáros,ATHX BERLIN 2025,Germany 🇩🇪,2025,Mixed,ATHX,MetCon X,,,16:01,,,,,,19
20,Petra Bohnet-Waldraff & Shang Hao Huang,ATHX BERLIN 2025,Germany 🇩🇪,2025,Mixed,ATHX,MetCon X,,,16:31,,,,,,20
21,Bastian Bienlein & Valeska Grabowski,ATHX BERLIN 2025,Germany 🇩🇪,2025,Mixed,ATHX,MetCon X,,,16:34,,,,,,21
22,Christian Krüger & Maria Tavarone,ATHX BERLIN 2025,Germany 🇩🇪,2025,Mixed,ATHX,MetCon X,,,16:35,,,,,,22
23,Okan Borchert & Nadja Schmidt,ATHX BERLIN 2025,Germany 🇩🇪,2025,Mixed,ATHX,MetCon X,,,16:36,,,,,,23
24,Eric Wothe & Michelle Wothe,ATHX BERLIN 2025,Germany 🇩🇪,2025,Mixed,ATHX,MetCon X,,,16:39,,,,,,24
25,Luis Camilo Cardenas Dovale & Abigail Perez Ortiz,ATHX BERLIN 2025,Germany 🇩🇪,2025,Mixed,ATHX,MetCon X,,,17:08,,,,,,25
26,Maik Titjung & Pilar Olivera,ATHX BERLIN 2025,Germany 🇩🇪,2025,Mixed,ATHX,MetCon X,,,17:17,,,,,,26
27,Elias Monfort & Eliza Cumming,ATHX BERLIN 2025,Germany 🇩🇪,2025,Mixed,ATHX,MetCon X,,,18:24,,,,,,27
28,Maria De Sancho & Stewart Patience,ATHX BERLIN 2025,Germany 🇩🇪,2025,Mixed,ATHX,MetCon X,,,19:13,,,,,,28
29,Christian Leutner & Ines Leutner,ATHX BERLIN 2025,Germany 🇩🇪,2025,Mixed,ATHX,MetCon X,,,19:40,,,,,,29
30,Ena Soukou & Mohamed Asy,ATHX BERLIN 2025,Germany 🇩🇪,2025,Mixed,ATHX,MetCon X,,,20:44,,,,,,30
31,Robert Ettrich & Nadine Freigang,ATHX BERLIN 2025,Germany 🇩🇪,2025,Mixed,ATHX,MetCon X,,,21:00,,,,,,31
32,Lisanne Visser & Jannes Stubbemann,ATHX BERLIN 2025,Germany 🇩🇪,2025,Mixed,ATHX,MetCon X,,,22:08,,,,,,32
33,Sven Malaschewski & Alla Kliushnyk,ATHX BERLIN 2025,Germany 🇩🇪,2025,Mixed,ATHX,MetCon X,,,22:39,,,,,,33
34,Robin Gumlich & Damaris Endres,ATHX BERLIN 2025,Germany 🇩🇪,2025,Mixed,ATHX,MetCon X,,,22:53,,,,,,34
35,Michelle Guy & Konstantin Hoffmann,ATHX BERLIN 2025,Germany 🇩🇪,2025,Mixed,ATHX,MetCon X,,,23:06,,,,,,35
36,Romy Leutner & Marco Friedrichs,ATHX BERLIN 2025,Germany 🇩🇪,2025,Mixed,ATHX,MetCon X,,,25:15,,,,,,36
