rank,first_name,last_name,full_name,gender,nationality,gym_name,profile_photo_url,event,country,year,division,event_category,workout_filter,Strength,Endurance,MetCon X,1RM Strict Press,3RM Back Squat,5RM Deadlift,Run,Row,Points
1,Heather,Redmond,Heather Redmond,Female,,,https://ui-avatars.com/api/?name=H+R&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX,Strength,,,,,,,,,1
2,JJ,Stone,JJ Stone,Female,United Kingdom,JJSFitness,https://athxgames.com/storage/profile-photos/vbM6ENGYYsiBaiFukDH903uQtGguo2o0a2k1guRS.jpg,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX,Strength,,,,,,,,,2
3,Sophie,Wawrzyniak,Sophie Wawrzyniak,Female,,,https://ui-avatars.com/api/?name=S+W&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX,Strength,,,,,,,,,3
4,Leah,Bromley,Leah Bromley,Female,United Kingdom,Simply gym,https://ui-avatars.com/api/?name=L+B&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX,Strength,,,,,,,,,4
5,Amy,Thomas,Amy Thomas,Female,,,https://ui-avatars.com/api/?name=A+T&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX,Strength,,,,,,,,,5
6,Molly,Carmichael,Molly Carmichael,Female,,,https://ui-avatars.com/api/?name=M+C&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX,Strength,,,,,,,,,6
7,Jayne,Parker,Jayne Parker,Female,,,https://ui-avatars.com/api/?name=J+P&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX,Strength,,,,,,,,,7
8,Stephanie,Boggan,Stephanie Boggan,Female,United Kingdom,Phoenix fitness,https://athxgames.com/storage/profile-photos/xtVhKZfubqkPrG9mrDlwV5o4CeGGEb5QbF0hN2k4.jpg,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX,Strength,,,,,,,,,8
9,Folawe,Abraham,Folawe Abraham,Female,,,https://ui-avatars.com/api/?name=F+A&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX,Strength,,,,,,,,,9
10,Abby,Beswick,Abby Beswick,Female,,,https://ui-avatars.com/api/?name=A+B&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX,Strength,,,,,,,,,10
