rank,team_name,event,country,year,division,event_category,workout_filter,Strength,Endurance,MetCon X,1RM Strict Press,3RM Back Squat,5RM Deadlift,Run,Row,Points
10,Armando Rey & Ani Pendurthi,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Male,ATHX,Overall,14 (610KG),7 (9.513KM),9 (16:07),,,,,,30
11,Sean Velas & Michael Oyarzun,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Male,ATHX,Overall,15 (598KG),14 (9.059KM),5 (14:08),,,,,,34
11,Corbin Mims & Sean schieppati,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Male,ATHX,Overall,5 (725KG),16 (8.25KM),13 (18:54),,,,,,34
13,Garrett Lynn & Zachary Grimsdale,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Male,ATHX,Overall,17 (540KG),8 (9.487KM),12 (18:32),,,,,,37
14,Carlos Orozco & Juan m Galvis,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Male,ATHX,Overall,12 (620KG),11 (9.155KM),15 (19:54),,,,,,38
15,Alonso Chaupis & Eduardo Caucho,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Male,ATHX,Overall,12 (620KG),15 (8.588KM),14 (19:19),,,,,,41
16,Pedro Leyva & Leandro Boucourt,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Male,ATHX,Overall,10 (635KG),17 (7.907KM),17 (25:13),,,,,,44
17,Fede Sandoval & Alejandro Alba,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Male,ATHX,Overall,16 (565KG),13 (9.063KM),16 (20:04),,,,,,45
1,Hannah Hardy & Sydney Witter,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Female,ATHX Pro,Overall,1 (721KG),2 (9.625KM),1 (14:27),,,,,,4
2,natalie OrtiZ & Winter Rodriguez,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Female,ATHX Pro,Overall,2 (660KG),1 (9.727KM),2 (16:29),,,,,,5
3,Jessi Kuhlman & Jacy Kuhlman,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Female,ATHX Pro,Overall,3 (643KG),3 (9.164KM),3 (16:34),,,,,,9
4,Diane Younes & Justina Mockute,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Female,ATHX Pro,Overall,5 (546KG),4 (9.137KM),4 (17:30),,,,,,13
5,Deb Graff & Anikha Greer,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Female,ATHX Pro,Overall,4 (585KG),5 (9.081KM),5 (17:57),,,,,,14
6,Caitlin Donahue & Paris Ammari,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Female,ATHX Pro,Overall,7 (446KG),8 (7.778KM),6 (18:20),,,,,,21
6,Chloe Foley & Kaya Barker,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Female,ATHX Pro,Overall,8 (359KG),6 (8.607KM),7 (20:20),,,,,,21
6,Elizabeth Gonzalez & Natalia Castano,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Female,ATHX Pro,Overall,6 (522KG),7 (8.315KM),8 (25:12),,,,,,21
1,Jonne Koski & Ella Wilkinson,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Mixed,ATHX Pro,Overall,1 (812KG),1 (11.082KM),1 (12:26),,,,,,3
2,Danielle Brandon & Cooper Marsh,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Mixed,ATHX Pro,Overall,4 (665KG),2 (10.584KM),2 (13:15),,,,,,8
3,Sebastian Dayoub & sarah guzman,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Mixed,ATHX Pro,Overall,2 (705KG),4 (9.626KM),4 (15:47),,,,,,10
4,Shereen Taljebini & Moe Romero,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Mixed,ATHX Pro,Overall,5 (625KG),3 (10.296KM),3 (15:41),,,,,,11
5,Fady Issa & Andrea Hernandez,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Mixed,ATHX Pro,Overall,6 (563KG),5 (9.184KM),5 (17:49),,,,,,16
1,Kristie Muller & Sophia Umphress,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Female,ATHX,MetCon X,,,15:14,,,,,,1
2,Laura Dias & Meghan Travis,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Female,ATHX,MetCon X,,,18:25,,,,,,2
3,Maria Gabriela Meyer & Valeria Jiménez,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Female,ATHX,MetCon X,,,18:33,,,,,,3
4,Sandra Aboulhosn & Mackenzie Pace,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Female,ATHX,MetCon X,,,19:06,,,,,,4
5,Cassandra Bosley & Megan Dimka,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Female,ATHX,MetCon X,,,19:45,,,,,,5
6,Taylor Lane & Samantha Lacayo,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Female,ATHX,MetCon X,,,20:00,,,,,,6
7,Kimberly Sawyer & Tamina Sheikh,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Female,ATHX,MetCon X,,,23:25,,,,,,7
8,Valentina Nunez & Linda Taveras,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Female,ATHX,MetCon X,,,23:34,,,,,,8
1,Ariella Jonas & Christopher Dorazio,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Mixed,ATHX,MetCon X,,,13:20,,,,,,1
2,Merissa Carpenito & Joe Farley,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Mixed,ATHX,MetCon X,,,13:39,,,,,,2
3,Sonia Suarez alonso & Delano Pinheiro,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Mixed,ATHX,MetCon X,,,14:27,,,,,,3
4,Jesus Caicedo amador & Lorena Di Bella,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Mixed,ATHX,MetCon X,,,14:46,,,,,,4
5,Yeismilay Arvelo & AJ Martinez,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Mixed,ATHX,MetCon X,,,14:55,,,,,,5
6,WHITNEY BAYLESS & Allan Ajoy,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Mixed,ATHX,MetCon X,,,15:26,,,,,,6
7,Monica Vega & Giorgio Rapicavoli,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Mixed,ATHX,MetCon X,,,15:34,,,,,,7
8,Kevin Piedrahita & Laura Salazar,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Mixed,ATHX,MetCon X,,,15:37,,,,,,8
9,Mariah Monahan & Gabriel Gonzalez,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Mixed,ATHX,MetCon X,,,16:15,,,,,,9
10,Jorge Fernandez & Maria Camila,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Mixed,ATHX,MetCon X,,,16:16,,,,,,10
11,Tara Philion & William Loheide,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Mixed,ATHX,MetCon X,,,16:19,,,,,,11
12,Angela Moon & Gustavo Lima,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Mixed,ATHX,MetCon X,,,16:29,,,,,,12
13,Josh Vasquez & Dayana Perez,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Mixed,ATHX,MetCon X,,,16:30,,,,,,13
14,Juan Campos & Ariana Pacheco,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Mixed,ATHX,MetCon X,,,16:46,,,,,,14
15,Daniela Barbieri & Jose Manjarres,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Mixed,ATHX,MetCon X,,,16:51,,,,,,15
16,Yosiel Piloto & Abril Altieri,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Mixed,ATHX,MetCon X,,,17:27,,,,,,16
17,Kimberly Miller & Nathan Cruz,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Mixed,ATHX,MetCon X,,,17:48,,,,,,17
18,Marcelo Martinez & Caitlin Onks,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Mixed,ATHX,MetCon X,,,20:16,,,,,,18
19,sevgi Tscherven & Nico Tscherven,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Mixed,ATHX,MetCon X,,,21:20,,,,,,19
20,Christopher Peete & Claressa Peete,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Mixed,ATHX,MetCon X,,,21:58,,,,,,20
21,Joao Monteiro & Maria Belfort,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Mixed,ATHX,MetCon X,,,24:32,,,,,,21
22,Andres Konowalskyj & Andrea Vergel,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Mixed,ATHX,MetCon X,,,24:53,,,,,,22
23,Veronika Toussaint & Ali Faison,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Mixed,ATHX,MetCon X,,,25:48,,,,,,23
1,Ivan Verdun & Nate Scola,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Male,ATHX Pro,MetCon X,,,12:04,,,,,,1
2,Nicolas Fernandez & Esteban Ospina,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Male,ATHX Pro,MetCon X,,,13:25,,,,,,2
3,Gibran Rodriguez & Alan Garcia,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Male,ATHX Pro,MetCon X,,,15:27,,,,,,3
4,Boris San Martin & David Anderson,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Male,ATHX Pro,MetCon X,,,16:03,,,,,,4
5,Stephan Mixter & Lucas Bistoquet,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Male,ATHX Pro,MetCon X,,,16:24,,,,,,5
6,Max Cantor & Gregory Donohoe,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Male,ATHX Pro,MetCon X,,,17:59,,,,,,6
